scene,exp,method,psnr,ssim,lpips,num_gaussians,ply_mb,metrics_json
bicycle,baseline_bicycle_i15k_noprune,baseline,,,|,4728473,1118.34,output/baseline_bicycle_i15k_noprune/test/metrics.json
bonsai,baseline_bonsai_i15k_noprune,baseline,,,|,1066779,252.31,output/baseline_bonsai_i15k_noprune/test/metrics.json
garden,baseline_garden_i15k_noprune,baseline,,,|,4210091,995.74,output/baseline_garden_i15k_noprune/test/metrics.json
kitchen,baseline_kitchen_i15k_noprune,baseline,,,|,1554339,367.62,output/baseline_kitchen_i15k_noprune/test/metrics.json
bicycle,gated_bicycle_i15k_tau30,gated+pruned,,,|,1187330,280.82,output/gated_bicycle_i15k_tau30/test/metrics.json
bonsai,gated_bonsai_i15k_tau30,gated+pruned,,,|,501857,118.7,output/gated_bonsai_i15k_tau30/test/metrics.json
garden,gated_garden_i15k_nogateloss,unknown,,,|,2031532,480.48,output/gated_garden_i15k_nogateloss/test/metrics.json
garden,gated_garden_i15k_noprune,gated(no-prune),,,|,4190053,991.0,output/gated_garden_i15k_noprune/test/metrics.json
garden,gated_garden_i15k_tau20,gated+pruned,,,|,2093227,495.07,output/gated_garden_i15k_tau20/test/metrics.json
garden,gated_garden_i15k_tau30,gated+pruned,,,|,1909043,451.51,output/gated_garden_i15k_tau30/test/metrics.json
garden,gated_garden_i15k_tau40,gated+pruned,,,|,2027533,479.54,output/gated_garden_i15k_tau40/test/metrics.json
garden,gated_garden_i15k_tau50,gated+pruned,,,|,2021158,478.03,output/gated_garden_i15k_tau50/test/metrics.json
kitchen,gated_kitchen_i15k_tau30,gated+pruned,,,|,364682,86.25,output/gated_kitchen_i15k_tau30/test/metrics.json
bicycle,pruneonly_bicycle_i15k_tau30,prune-only,,,|,2134976,504.95,output/pruneonly_bicycle_i15k_tau30/test/metrics.json
bonsai,pruneonly_bonsai_i15k_tau30,prune-only,,,|,478355,113.14,output/pruneonly_bonsai_i15k_tau30/test/metrics.json
garden,pruneonly_garden_i15k_tau30,prune-only,,,|,1885615,445.97,output/pruneonly_garden_i15k_tau30/test/metrics.json
kitchen,pruneonly_kitchen_i15k_tau30,prune-only,,,|,687757,162.66,output/pruneonly_kitchen_i15k_tau30/test/metrics.json
garden,random_garden_i15k_keep45,random,,,|,1896393,448.52,output/random_garden_i15k_keep45/test/metrics.json
